curves,energy,count
0,107.08831,63
0,107.17463,53
0,107.26094,54
0,107.34726,51
0,107.43358,51
0,107.51989,46
0,107.60621,43
0,107.69253,44
1,96.707474,47
1,96.784326,47
1,96.86117899999999,46
1,96.938032,49
1,97.014886,56
1,97.091739,60
1,97.168592,56
1,97.245445,57
1,97.322298,60
1,97.399151,55
1,97.476004,56
1,97.552857,61
1,97.62971,66
1,97.706563,73
1,97.783416,68
1,97.860269,73
1,97.937122,77
1,98.013975,84
1,98.090828,83
1,98.167681,85
1,98.244534,84
1,98.321387,85
1,98.39824,84
1,98.475093,87
1,98.551946,91
1,98.628799,98
1,98.705652,95
1,98.782505,101
1,98.859358,120
1,98.936211,121
1,99.013064,113
1,99.089917,119
1,99.16677,127
1,99.243623,138
1,99.320476,125
1,99.397329,133
1,99.474182,134
1,99.551035,136
1,99.627888,122
1,99.704741,126
1,99.781555,137
1,99.857562,130
1,99.931347,133
1,100.00147,134
1,100.06672,136
1,100.12793,133
1,100.18718,129
1,100.24653,130
1,100.30787,126
1,100.37207,131
1,100.43961,137
1,100.51095,140
1,100.58601,135
1,100.66268,140
1,100.73837,142
1,100.81051,150
1,100.87796,149
1,100.94281,144
1,101.00755,138
1,101.07467,150
1,101.14471,141
1,101.21544,142
1,101.2844,150
1,101.34928,151
1,101.41086,142
1,101.47282,152
1,101.53894,156
1,101.61251,153
1,101.69128,154
1,101.76964,156
1,101.84195,154
1,101.90388,146
1,101.9596,158
1,102.0166,155
1,102.08236,149
1,102.16182,141
1,102.24993,140
1,102.33929,143
1,102.42247,144
1,102.495,144
1,102.55942,150
1,102.61933,144
1,102.6783,155
1,102.7394,157
1,102.80493,159
1,102.87714,161
1,102.95809,163
1,103.04576,152
1,103.13413,155
1,103.21695,156
1,103.2886,160
1,103.35064,147
1,103.40926,147
1,103.47077,145
1,103.54042,142
1,103.61649,145
1,103.69435,129
1,103.76935,121
1,103.83803,123
1,103.90189,123
1,103.9637,141
1,104.02626,147
1,104.09132,146
1,104.1581,143
1,104.22543,150
1,104.29213,139
1,104.35799,139
1,104.4244,143
1,104.49289,160
1,104.5649,159
1,104.64005,157
1,104.71598,166
1,104.79024,162
1,104.86053,159
1,104.92621,171
1,104.98785,167
1,105.04605,164
1,105.10174,170
1,105.15855,176
1,105.22125,168
1,105.29465,169
1,105.38154,159
1,105.47579,163
1,105.56879,168
1,105.65193,165
1,105.72042,170
1,105.77986,175
1,105.83764,181
1,105.90109,180
1,105.97404,176
1,106.05427,173
